expense_id,expense_date,category,department,description,amount
EXP-00001,2024-04-01,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3547.92
EXP-00002,2024-04-01,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2259.11
EXP-00003,2024-04-01,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1904.21
EXP-00004,2024-04-02,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3496.34
EXP-00005,2024-04-02,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2265.3
EXP-00006,2024-04-02,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1888.32
EXP-00007,2024-04-03,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3543.56
EXP-00008,2024-04-03,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2162.03
EXP-00009,2024-04-03,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1831.22
EXP-00010,2024-04-04,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3571.43
EXP-00011,2024-04-04,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2295.12
EXP-00012,2024-04-04,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1907.08
EXP-00013,2024-04-05,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3576.73
EXP-00014,2024-04-05,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2144.38
EXP-00015,2024-04-05,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1919.19
EXP-00016,2024-04-06,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3549.25
EXP-00017,2024-04-06,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2102.55
EXP-00018,2024-04-06,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1898.17
EXP-00019,2024-04-07,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3502.41
EXP-00020,2024-04-07,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2264.32
EXP-00021,2024-04-07,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1947.63
EXP-00022,2024-04-08,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3417.07
EXP-00023,2024-04-08,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2167.94
EXP-00024,2024-04-08,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1888.83
EXP-00025,2024-04-09,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3439.11
EXP-00026,2024-04-09,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2103.14
EXP-00027,2024-04-09,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1807.94
EXP-00028,2024-04-10,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3598.61
EXP-00029,2024-04-10,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2262.59
EXP-00030,2024-04-10,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1846.3
EXP-00031,2024-04-11,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3566.79
EXP-00032,2024-04-11,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2210.38
EXP-00033,2024-04-11,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1906.91
EXP-00034,2024-04-12,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3404.96
EXP-00035,2024-04-12,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2252.24
EXP-00036,2024-04-12,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1800.01
EXP-00037,2024-04-13,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3528.97
EXP-00038,2024-04-13,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2294.85
EXP-00039,2024-04-13,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1836.4
EXP-00040,2024-04-14,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3433.18
EXP-00041,2024-04-14,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2171.91
EXP-00042,2024-04-14,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1837.61
EXP-00043,2024-04-15,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3587.41
EXP-00044,2024-04-15,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2233.13
EXP-00045,2024-04-15,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1846.9
EXP-00046,2024-04-16,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3451.15
EXP-00047,2024-04-16,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2264.41
EXP-00048,2024-04-16,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1945.54
EXP-00049,2024-04-17,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3534.73
EXP-00050,2024-04-17,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2125.82
EXP-00051,2024-04-17,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1901.81
EXP-00052,2024-04-18,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3423.4
EXP-00053,2024-04-18,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2222.8
EXP-00054,2024-04-18,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1884.62
EXP-00055,2024-04-19,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3423.34
EXP-00056,2024-04-19,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2126.0
EXP-00057,2024-04-19,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1855.0
EXP-00058,2024-04-20,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3540.54
EXP-00059,2024-04-20,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2273.44
EXP-00060,2024-04-20,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1823.1
EXP-00061,2024-04-21,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3548.42
EXP-00062,2024-04-21,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2203.61
EXP-00063,2024-04-21,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1817.0
EXP-00064,2024-04-22,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3488.25
EXP-00065,2024-04-22,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2170.08
EXP-00066,2024-04-22,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1854.68
